ph_sol,humidite_sol,carbone_organique,conductivite_electrique,temperature,humidite,precipitation,heures_ensoleillement,vitesse_vent,surface_champ,irrigation_precedente,type_sol_Loamy,type_sol_Sandy,type_sol_Silt,type_culture_Maize,type_culture_Potato,type_culture_Rice,type_culture_Sugarcane,type_culture_Wheat,stade_croissance_Harvest,stade_croissance_Sowing,stade_croissance_Vegetative,saison_Rabi,saison_Zaid,type_irrigation_Drip,type_irrigation_Rainfed,type_irrigation_Sprinkler,source_eau_Rainwater,source_eau_Reservoir,source_eau_River,paillage_Yes,region_East,region_North,region_South,region_West,target
6.14,-0.02977518653398252,-1.4091015391118302,2.17,-0.587677035867534,-1.4311383862885367,1167.7,4.01,1.97,4.73,1.98,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0
6.41,0.8271925723052652,-1.5165166938567816,0.23,1.0975266338464134,-1.6877396273115177,831.28,10.72,16.82,12.22,33.56,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
7.71,0.18872724629505877,0.3901023028661096,2.18,1.7127413982008883,0.8089210961553219,1844.45,7.75,19.03,5.52,34.62,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
5.96,-1.4740823539526857,1.652230371119291,0.4,1.1806325682432655,-0.8302555574065374,306.26,8.9,11.44,1.43,84.03,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
7.76,-1.11924414130831,0.014149261258778665,2.52,-0.5322730796029659,1.3057763948928696,1875.63,10.39,11.26,2.52,60.86,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
5.1,-1.0023849014665942,-1.5433704825430195,1.43,0.7327839217713401,0.12035792043728492,402.92,7.03,13.55,7.56,7.33,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1
7.44,-0.8684836891479619,-0.9525871314457858,2.95,0.1187234065057097,-0.07828512521950122,764.95,7.08,7.38,2.18,51.47,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
7.68,0.19846551628186818,-0.872025765387072,3.3,0.9936442158503481,0.9421754085784528,833.33,5.17,3.73,12.54,118.96,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
5.42,-0.014559139679592471,-0.5497803011522171,1.52,-1.2005833020443186,0.8322034481400326,2476.03,10.34,1.8,13.75,107.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
6.26,-1.0583799538907497,-1.5702242712292573,1.67,0.4788491222254026,0.7043981968197063,1474.55,8.53,17.68,1.27,97.92,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1
5.36,-1.52886012262849,1.4374000616293874,2.11,0.9486285013853865,0.6543659085121372,1943.89,5.26,11.17,13.11,74.35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7.2,-1.1685441331165336,0.06785683863125451,0.77,0.9059212850981155,0.049520126100825,1388.44,7.92,14.03,10.39,15.22,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1
6.62,1.6519023118132057,0.6049326123560124,3.25,1.6065504820271326,1.4746972890798122,2457.89,6.3,6.98,5.08,107.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
6.96,-0.13750479826306383,-1.4896629051705437,1.57,-1.5283900432763466,1.3503596220976348,443.45,5.03,16.24,4.01,43.18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
5.47,1.245938181738079,-1.5433704825430195,0.67,-0.5334273286918108,-0.595450560794775,1512.19,5.27,7.32,6.26,20.43,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
5.52,1.1814221430754654,0.3095409368073958,2.69,-0.07980743677565928,1.0526427382080372,1993.46,7.91,1.08,9.11,16.53,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4.94,0.011612460909958393,1.3568386955706737,0.85,-0.6580862302870892,1.3523410988622906,1571.39,7.95,7.07,3.84,101.67,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
5.9,0.6884222249932279,0.12156441600373036,0.59,-0.6580862302870892,0.4061859437389451,2242.34,9.53,17.08,13.24,76.17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
6.7,-1.0942898244671102,1.3299849068844358,2.01,-1.1209401149140017,0.1887188688179247,1501.77,5.74,17.58,0.71,12.91,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
7.72,0.6251234700789654,1.088300808708295,2.38,1.0848298938691165,0.5919493904254659,2066.1,10.41,18.73,1.33,101.81,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
7.07,-0.8179664135913869,-1.4628091164843058,2.04,1.41379088418999,-1.1725556685009,439.49,7.63,10.24,7.31,30.65,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
6.28,1.1236011650287832,-1.033148497504499,2.33,-1.4452841088794943,-1.4351013398178494,655.16,5.43,19.15,5.34,71.79,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
8.04,-1.4728650702043347,0.5780788236697745,0.49,-1.1936578075112476,1.106142610853755,1110.17,6.89,10.23,4.88,115.25,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
7.25,0.919097495305781,-0.1738272595448865,1.72,-0.9397230079653103,0.2501446485222673,2129.04,10.46,3.5,7.01,94.83,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
7.96,-1.4162613759060037,-0.7109030332696444,1.31,0.032154724842322,-1.3127451496003277,1066.4,7.35,10.29,8.73,80.74,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
6.59,1.2940208897979515,-0.2812424142898382,3.41,1.0098037030941807,-0.2942660925670294,1568.65,10.12,17.44,2.48,92.37,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5.68,-0.707802234365603,-0.1738272595448865,0.27,-1.483374328811385,-0.7034410444685392,989.53,5.12,15.82,12.78,64.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
4.98,0.5070469464888983,1.4374000616293874,1.11,0.47423212587002206,1.297850487834245,2014.3,10.4,8.96,5.35,48.88,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
7.27,-0.0717714758520989,-1.3822477504255921,3.3,-1.2132800420216154,0.021284082204473826,500.72,7.01,4.64,7.54,2.09,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
5.21,-0.4923430109074398,-0.7646106106421202,3.44,1.6330982110705718,0.26500572425718955,1484.42,10.55,11.83,8.63,0.02,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
5.83,0.4760062109059428,0.14841820468996827,2.9,1.3814719097023251,-0.9218988577718877,1444.73,10.06,18.66,9.83,111.18,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6.61,1.5240875182363292,0.7123477671009641,0.36,1.558072020295636,1.0328279705614754,1008.1,8.62,3.96,1.96,12.25,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
6.72,-1.6201564037548302,0.47066366892482336,2.01,-1.3633324235714874,1.487576888050078,1762.82,8.71,16.63,12.71,71.73,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
6.84,1.4242702508715304,1.5448152163743392,1.46,-0.040562967754923546,1.0100409877679286,71.19,5.48,3.37,1.24,68.07,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
5.37,0.3500173429515932,1.0345932313358193,2.84,-1.1578760857570471,-0.02874820610309568,2103.75,8.22,18.43,3.52,72.07,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
6.09,1.0377826607700236,0.20212578206244414,0.29,0.34841897518589865,1.1581563759259808,869.91,7.85,14.02,1.75,60.63,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.9,-0.43147882348987965,-0.9794409201320237,0.77,-0.9247177698103232,-1.0858660600471903,1982.56,6.34,2.63,11.52,113.57,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
